C:\Users\doris\anaconda3\envs\py37\python.exe F:\resource_provision_mec\codes\min_cost\ppo\train.py 
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:56 	 evaluate_reward:61.95213266888783 	 info: [{'cost': 4353.0, 'assigned_user': '50 / 50'}]
step: 112640 / 2000000, lr = 0.00028310399999999995
step: 113664 / 2000000, lr = 0.0002829504
evaluate_num:57 	 evaluate_reward:61.888215497722385 	 info: [{'cost': 4366.0, 'assigned_user': '50 / 50'}]
step: 114688 / 2000000, lr = 0.0002827968
step: 115712 / 2000000, lr = 0.00028264319999999997
evaluate_num:58 	 evaluate_reward:61.78400694273112 	 info: [{'cost': 4381.0, 'assigned_user': '50 / 50'}]
step: 116736 / 2000000, lr = 0.00028248959999999996
step: 117760 / 2000000, lr = 0.00028233599999999995
evaluate_num:59 	 evaluate_reward:61.90049543926189 	 info: [{'cost': 4359.0, 'assigned_user': '50 / 50'}]
step: 118784 / 2000000, lr = 0.0002821824
step: 119808 / 2000000, lr = 0.0002820288
evaluate_num:60 	 evaluate_reward:61.56360584905712 	 info: [{'cost': 4376.0, 'assigned_user': '50 / 50'}]
step: 120832 / 2000000, lr = 0.00028187519999999997
step: 121856 / 2000000, lr = 0.00028172159999999996
evaluate_num:61 	 evaluate_reward:62.09259921743628 	 info: [{'cost': 4346.0, 'assigned_user': '50 / 50'}]
step: 122880 / 2000000, lr = 0.00028156799999999994
step: 123904 / 2000000, lr = 0.0002814144
evaluate_num:62 	 evaluate_reward:61.75207735515122 	 info: [{'cost': 4349.0, 'assigned_user': '50 / 50'}]
step: 124928 / 2000000, lr = 0.0002812608
step: 125952 / 2000000, lr = 0.00028110719999999996
evaluate_num:63 	 evaluate_reward:60.95229733950099 	 info: [{'cost': 4399.0, 'assigned_user': '50 / 50'}]
step: 126976 / 2000000, lr = 0.00028095359999999995
step: 128000 / 2000000, lr = 0.00028079999999999994
evaluate_num:64 	 evaluate_reward:60.19285462898379 	 info: [{'cost': 4479.0, 'assigned_user': '50 / 50'}]
step: 129024 / 2000000, lr = 0.0002806464
evaluate_num:65 	 evaluate_reward:60.63712962710664 	 info: [{'cost': 4441.0, 'assigned_user': '50 / 50'}]
